Year,Total,Percentage,ANY,LOW,MEDIUM,MEDIUM_HIGH,HIGH
2001,1676,0.06,1,1,0,0,0
2002,2156,0.0,0,0,0,0,0
2003,1527,0.0,0,0,0,0,0
2004,2451,0.08,2,0,0,2,2
2005,4932,0.06,3,0,1,3,2
2006,6608,0.17,11,0,5,11,6
2007,6516,0.23,15,1,4,14,10
2008,5632,0.12,7,0,3,7,4
2009,5732,0.14,8,0,6,8,2
2010,4639,0.17,8,0,5,8,3
2011,4150,0.14,6,0,5,6,1
2012,5288,0.08,4,1,3,3,0
2013,5187,0.1,5,1,2,4,2
2014,7937,0.04,3,0,3,3,0
2015,6487,0.06,4,0,3,4,1
2016,6447,0.2,13,4,6,9,3
2017,14643,0.68,99,10,43,89,46
2018,16509,0.68,113,7,47,106,59
2019,17305,0.7,121,7,65,114,49
2020,18350,1.12,206,22,108,184,76
2021,20155,0.93,188,19,100,169,69
2022,25050,0.71,177,18,49,69,20
1999,894,0.11,1,0,1,1,0
2000,1019,0.0,0,0,0,0,0
2023,28829,1.17,337,0,0,0,0
2024,7494,0.76,57,0,0,0,0
