Year,Total,Percentage,ANY,LOW,MEDIUM,MEDIUM_HIGH,HIGH
1989,3,33.33,1,0,0,1,1
1990,11,9.09,1,0,0,1,1
1991,15,0.0,0,0,0,0,0
1992,13,0.0,0,0,0,0,0
1993,13,0.0,0,0,0,0,0
1994,25,0.0,0,0,0,0,0
1995,25,16.0,4,0,0,4,4
1996,74,20.27,15,0,0,15,15
1997,252,25.0,63,0,9,63,54
1998,246,20.73,51,0,8,51,43
1999,894,19.24,172,3,47,169,122
2000,1019,19.82,202,5,54,197,143
2001,1676,17.48,293,2,54,291,237
2002,2156,19.53,421,5,92,416,324
2003,1527,22.27,340,5,73,335,262
2004,2451,15.5,380,11,100,369,269
2005,4932,12.33,608,16,145,592,447
2006,6608,8.58,567,20,197,547,350
2007,6516,12.62,822,3,227,819,592
2008,5632,10.46,589,2,117,587,470
2009,5732,10.19,584,1,84,583,499
2010,4639,8.86,411,2,95,409,314
2011,4150,9.45,392,1,84,391,307
2012,5288,7.79,412,9,127,403,276
2013,5187,6.63,344,7,134,337,203
2014,7937,4.46,354,6,121,348,227
2015,6487,4.86,315,2,100,313,213
2016,6447,5.44,351,7,155,344,189
2017,14643,5.45,798,13,389,785,396
2018,16509,5.14,849,11,411,838,427
2019,17305,3.94,682,17,306,665,359
2020,18350,4.42,811,28,455,783,328
2021,20155,5.55,1119,41,739,1078,339
2022,25050,4.24,1061,15,290,492,202
2023,28829,4.12,1188,0,1,1,0
2024,7533,3.84,289,0,0,0,0
