Year,Total,Percentage,ANY,LOW,MEDIUM,MEDIUM_HIGH,HIGH
1997,252,0.4,1,0,0,1,1
1998,246,0.0,0,0,0,0,0
1999,894,0.11,1,0,0,1,1
2000,1019,0.0,0,0,0,0,0
2001,1676,0.12,2,0,0,2,2
2002,2156,0.19,4,0,0,4,4
2003,1527,0.07,1,0,0,1,1
2004,2451,0.12,3,0,1,3,2
2005,4932,0.24,12,1,4,11,7
2006,6608,0.26,17,1,8,16,8
2007,6516,0.6,39,1,19,38,19
2008,5632,0.66,37,0,9,37,28
2009,5732,0.38,22,1,5,21,16
2010,4639,0.39,18,0,3,18,15
2011,4150,0.36,15,0,2,15,13
2012,5288,1.4,74,0,41,74,33
2013,5187,0.19,10,0,5,10,5
2014,7937,0.29,23,0,3,23,20
2015,6487,0.62,40,1,4,39,35
2016,6447,1.58,102,2,30,100,70
2017,14643,6.39,936,10,272,926,654
2018,16509,8.99,1484,20,466,1464,998
2019,17305,9.9,1714,12,573,1702,1129
2020,18350,8.88,1630,18,716,1612,896
2021,20155,8.4,1694,22,1004,1672,668
2022,25050,7.34,1839,14,494,1040,546
2023,28829,6.69,1929,0,0,0,0
2024,7533,6.33,477,0,0,0,0
