Year,Total,Percentage,ANY,LOW,MEDIUM,MEDIUM_HIGH,HIGH
2002,2156,0.09,2,0,1,2,1
2003,1527,0.0,0,0,0,0,0
2004,2451,0.2,5,0,2,5,3
2005,4932,0.18,9,0,4,9,5
2006,6608,0.27,18,2,9,16,7
2007,6516,0.91,59,1,43,58,15
2008,5632,1.44,81,3,68,78,10
2009,5732,1.99,114,0,112,114,2
2010,4639,1.77,82,3,76,79,3
2011,4150,1.33,55,1,53,54,1
2012,5288,3.03,160,1,157,159,2
2013,5187,2.27,118,0,115,118,3
2014,7937,3.02,240,0,238,240,2
2015,6487,3.65,237,1,235,236,1
2016,6447,1.12,72,2,68,70,2
2017,14643,1.22,179,2,175,177,2
2018,16509,0.82,135,1,132,134,2
2019,17305,0.99,171,3,167,168,1
2020,18350,0.72,132,1,126,131,5
2021,20155,1.24,250,3,241,247,6
2022,25050,1.57,394,6,164,167,3
2023,28829,3.97,1145,0,0,0,0
2024,7494,3.38,253,0,0,0,0
