Year,Total,Percentage,ANY,LOW,MEDIUM,MEDIUM_HIGH,HIGH
1992,13,15.38,2,0,0,2,2
1993,13,7.69,1,0,1,1,0
1994,25,8.0,2,0,2,2,0
1995,25,0.0,0,0,0,0,0
1996,74,8.11,6,3,2,3,1
1997,252,15.08,38,6,28,32,4
1998,246,24.39,60,5,40,55,15
1999,894,19.8,177,25,120,152,32
2000,1019,25.22,257,22,192,235,43
2001,1676,24.05,403,48,266,355,89
2002,2156,23.05,497,33,305,464,159
2003,1527,24.95,381,29,231,352,121
2004,2451,23.66,580,63,415,517,102
2005,4932,16.99,838,119,502,719,217
2006,6608,13.51,893,93,552,800,248
2007,6516,16.88,1100,59,545,1041,496
2008,5632,15.87,894,21,457,873,416
2009,5732,18.04,1034,24,556,1010,454
2010,4639,23.65,1097,35,533,1062,529
2011,4150,29.37,1219,31,578,1188,610
2012,5288,26.87,1421,82,693,1339,646
2013,5187,28.03,1454,62,770,1392,622
2014,7937,20.12,1597,76,818,1521,703
2015,6487,27.62,1792,38,836,1754,918
2016,6447,31.41,2025,88,961,1937,976
2017,14643,21.32,3122,127,2336,2995,659
2018,16509,11.22,1853,98,1414,1755,341
2019,17305,7.8,1349,136,898,1213,315
2020,18350,7.43,1363,190,942,1173,231
2021,20155,9.08,1831,304,1218,1527,309
2022,25050,8.16,2044,163,753,957,204
2023,28829,7.14,2057,0,0,0,0
2024,7494,6.35,476,0,0,0,0
