Year,Total,Percentage,ANY,LOW,MEDIUM,MEDIUM_HIGH,HIGH
2002,2156,0.09,2,0,2,2,0
2003,1527,0.13,2,0,2,2,0
2004,2451,0.0,0,0,0,0,0
2005,4932,0.14,7,0,2,7,5
2006,6608,0.36,24,3,14,21,7
2007,6516,0.46,30,2,8,28,20
2008,5632,0.16,9,0,1,9,8
2009,5732,0.68,39,3,5,36,31
2010,4639,0.24,11,1,7,10,3
2011,4150,0.48,20,1,17,19,2
2012,5288,0.17,9,1,7,8,1
2013,5187,0.19,10,1,8,9,1
2014,7937,0.16,13,1,11,12,1
2015,6487,0.71,46,10,36,36,0
2016,6447,1.58,102,34,67,68,1
2017,14643,3.39,496,178,287,318,31
2018,16509,3.92,647,143,459,504,45
2019,17305,5.77,999,208,746,791,45
2020,18350,4.93,904,380,504,524,20
2021,20155,3.77,760,328,390,432,42
2022,25050,3.21,804,175,196,221,25
2023,28829,4.23,1219,0,1,1,0
2001,1676,0.06,1,0,0,1,1
2024,7533,2.47,186,0,0,0,0
